,State,Year,Estimate!!RACE!!Total population!!Total population,Percent Estimate!!RACE!!Total population!!Total population,Estimate!!RACE!!Total population!!One race,Percent Estimate!!RACE!!Total population!!One race,Estimate!!RACE!!Total population!!Two or more races,Percent Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!One race!!White,Percent Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Percent Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Estimate!!RACE!!Total population!!One race!!Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Some other race,Percent Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American,Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population,Percent Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population,Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!White,Percent Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!White,Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Percent Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!Asian,Percent Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!Some other race,Percent Estimate!!RACE!!Total population!!Race alone or in combination with one or more other races!!Total population!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Total population,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races"
0,Alabama,2011,4802740,4802740,4738290,98.7,64450,1.3,3318110,69.1,1281095,26.7,24408,0.5,9224,0.2,141,0.0,12,0.0,514,0.0,54259,1.1,11383,0.2,8176,0.2,6343,0.1,1018,0.0,8328,0.2,9195,0.2,9816,0.2,1919,0.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,58499,1.2,17381,0.4,24060,0.5,7704,0.2,2817,0.1,4802740,4802740,3373539,70.2,1307900,27.2,54540,1.1,66678,1.4,3782,0.1,65584,1.4,4802740,4802740,186204,3.9,125912,2.6,12950,0.3,3658,0.1,43684,0.9,4616536,96.1,3202563,66.7,1274852,26.5,22533,0.5,53243,1.1,1902,0.0,3880,0.1,57563,1.2,2546,0.1,55017,1.1
1,Alaska,2011,722718,722718,662489,91.7,60229,8.3,482698,66.8,23143,3.2,102293,14.2,889,0.1,225,0.0,52,0.0,348,0.0,37971,5.3,866,0.1,2186,0.3,17938,2.5,2022,0.3,5788,0.8,1295,0.2,7876,1.1,7785,1.1,567,0.1,372,0.1,6105,0.8,741,0.1,8599,1.2,6096,0.8,31841,4.4,7991,1.1,3900,0.5,722718,722718,533690,73.8,36376,5.0,142478,19.7,50181,6.9,11533,1.6,11999,1.7,722718,722718,41627,5.8,22300,3.1,6009,0.8,1195,0.2,12123,1.7,681091,94.2,459836,63.6,21811,3.0,99791,13.8,37971,5.3,7557,1.0,529,0.1,53596,7.4,273,0.0,53323,7.4
2,Arizona,2011,6482505,6482505,6288212,97.0,194293,3.0,5141027,79.3,265940,4.1,289812,4.5,2496,0.0,1850,0.0,142509,2.2,2305,0.0,177297,2.7,33188,0.5,36510,0.6,33390,0.5,9744,0.2,16197,0.2,26152,0.4,22116,0.3,11941,0.2,5192,0.1,1140,0.0,933,0.0,4676,0.1,402195,6.2,40144,0.6,36784,0.6,39438,0.6,4556,0.1,6482505,6482505,5308097,81.9,323562,5.0,346380,5.3,235750,3.6,22939,0.4,455685,7.0,6482505,6482505,1949295,30.1,1772431,27.3,27417,0.4,9852,0.2,139595,2.2,4533210,69.9,3713340,57.3,250296,3.9,263305,4.1,173826,2.7,10983,0.2,6376,0.1,115084,1.8,3675,0.1,111409,1.7
3,Arkansas,2011,2937979,2937979,2880750,98.1,57229,1.9,2296248,78.2,463364,15.8,16772,0.6,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,34342,1.2,4959,0.2,7425,0.3,4866,0.2,948,0.0,1579,0.1,5393,0.2,9172,0.3,7279,0.2,884,0.0,138,0.0,40,0.0,6217,0.2,62745,2.1,14043,0.5,25102,0.9,6534,0.2,2240,0.1,2937979,2937979,2348406,79.9,482548,16.4,46716,1.6,42799,1.5,8588,0.3,68877,2.3,2937979,2937979,190047,6.5,150088,5.1,5592,0.2,1063,0.0,33304,1.1,2747932,93.5,2181458,74.3,460178,15.7,15374,0.5,34006,1.2,6967,0.2,1425,0.0,48524,1.7,914,0.0,47610,1.6
4,California,2011,37691912,37691912,36097905,95.8,1594007,4.2,23698393,62.9,2253905,6.0,289597,0.8,25685,0.1,2345,0.0,9130,0.0,6212,0.0,4970627,13.2,578235,1.5,1294771,3.4,1182082,3.1,271685,0.7,453175,1.2,610700,1.6,579979,1.5,146894,0.4,23158,0.1,21201,0.1,42804,0.1,59731,0.2,4738489,12.6,210104,0.6,245931,0.7,434428,1.2,39443,0.1,37691912,37691912,25002505,66.3,2664982,7.1,689320,1.8,5643693,15.0,294022,0.8,5140866,13.6,37691912,37691912,14359500,38.1,11969485,31.8,205340,0.5,83518,0.2,2101157,5.6,23332412,61.9,14917153,39.6,2148618,5.7,155431,0.4,4905646,13.0,136245,0.4,73698,0.2,995621,2.6,51890,0.1,943731,2.5
5,Colorado,2011,5116796,5116796,4944023,96.6,172773,3.4,4318187,84.4,203243,4.0,51677,1.0,3288,0.1,541,0.0,5439,0.1,5170,0.1,143760,2.8,20911,0.4,26268,0.5,14039,0.3,9337,0.2,23941,0.5,25536,0.5,23728,0.5,5949,0.1,1648,0.0,1580,0.0,771,0.0,1950,0.0,221207,4.3,29863,0.6,45666,0.9,32931,0.6,4464,0.1,5116796,5116796,4469887,87.4,253679,5.0,115554,2.3,190263,3.7,15931,0.3,259731,5.1,5116796,5116796,1070559,20.9,829837,16.2,25247,0.5,5834,0.1,209641,4.1,4046237,79.1,3560652,69.6,196454,3.8,27931,0.5,140122,2.7,5494,0.1,4848,0.1,110736,2.2,2765,0.1,107971,2.1
6,Connecticut,2011,3580709,3580709,3492125,97.5,88584,2.5,2787171,77.8,359683,10.0,7481,0.2,1063,0.0,0,0.0,73,0.0,145,0.0,141081,3.9,49786,1.4,34574,1.0,11604,0.3,3705,0.1,8903,0.2,8103,0.2,24406,0.7,1416,0.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,195293,5.5,28782,0.8,11802,0.3,12548,0.4,3401,0.1,3580709,3580709,2859030,79.8,405539,11.3,28406,0.8,160494,4.5,4812,0.1,218739,6.1,3580709,3580709,494289,13.8,52931,1.5,271303,7.6,9535,0.3,160520,4.5,3086420,86.2,2531612,70.7,338670,9.5,4373,0.1,139496,3.9,753,0.0,10131,0.3,61385,1.7,6407,0.2,54978,1.5
7,Delaware,2011,907135,907135,883007,97.3,24128,2.7,636680,70.2,193899,21.4,2794,0.3,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,29930,3.3,13148,1.4,6658,0.7,2698,0.3,415,0.0,3262,0.4,925,0.1,2824,0.3,22,0.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,19682,2.2,11468,1.3,3622,0.4,2991,0.3,1837,0.2,907135,907135,657018,72.4,209592,23.1,8870,1.0,34388,3.8,149,0.0,22386,2.5,907135,907135,76153,8.4,29739,3.3,24296,2.7,2715,0.3,19403,2.1,830982,91.6,589845,65.0,189472,20.9,2130,0.2,29818,3.3,22,0.0,935,0.1,18760,2.1,834,0.1,17926,2.0
8,District of Columbia,2011,617996,617996,605236,97.9,12760,2.1,246505,39.9,309845,50.1,1956,0.3,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,22510,3.6,5443,0.9,5192,0.8,2479,0.4,1138,0.2,2613,0.4,1656,0.3,3989,0.6,0,0.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,-999999999,-999999999.0,24420,4.0,3404,0.6,789,0.1,4060,0.7,569,0.1,617996,617996,257354,41.6,316520,51.2,4990,0.8,27444,4.4,449,0.1,26153,4.2,617996,617996,58744,9.5,8663,1.4,2580,0.4,1275,0.2,46226,7.5,559252,90.5,217819,35.2,305776,49.5,1485,0.2,22302,3.6,0,0.0,1421,0.2,10449,1.7,76,0.0,10373,1.7
9,Florida,2011,19057542,19057542,18634061,97.8,423481,2.2,14535897,76.3,3046628,16.0,63416,0.3,9151,0.0,1898,0.0,1419,0.0,1635,0.0,463164,2.4,129970,0.7,82251,0.4,80743,0.4,12269,0.1,22297,0.1,69433,0.4,66201,0.3,12545,0.1,4944,0.0,2624,0.0,656,0.0,4321,0.0,512411,2.7,128390,0.7,60807,0.3,77420,0.4,11134,0.1,19057542,19057542,14884076,78.1,3245366,17.0,155194,0.8,585292,3.1,32476,0.2,607438,3.2,19057542,19057542,4355051,22.9,656695,3.4,883728,4.6,1315380,6.9,1499248,7.9,14702491,77.1,10927459,57.3,2922969,15.3,42523,0.2,455941,2.4,10931,0.1,36497,0.2,306171,1.6,26458,0.1,279713,1.5
10,Georgia,2011,9815210,9815210,9624976,98.1,190234,1.9,5961961,60.7,3021927,30.8,24980,0.3,5482,0.1,227,0.0,164,0.0,246,0.0,322841,3.3,83666,0.9,55375,0.6,23378,0.2,7492,0.1,55034,0.6,47557,0.5,50339,0.5,5659,0.1,1175,0.0,2107,0.0,362,0.0,2015,0.0,287608,2.9,64213,0.7,26418,0.3,34047,0.3,10763,0.1,9815210,9815210,6117189,62.3,3126838,31.9,72382,0.7,376258,3.8,12052,0.1,316898,3.2,9815210,9815210,880067,9.0,540526,5.5,74321,0.8,29292,0.3,235928,2.4,8935143,91.0,5441439,55.4,2976744,30.3,17014,0.2,321114,3.3,4904,0.0,16526,0.2,157402,1.6,7879,0.1,149523,1.5
